Race,Travel Time (min)
American Indian and Alaska Native,5
American Indian and Alaska Native,5
American Indian and Alaska Native,15
Asian,15
Asian,75
Asian,15
Asian,15
Asian,20
Asian,20
Asian,1
Asian,15
Asian,10
Asian,10
Asian,15
Asian,165
Asian,35
Asian,5
Native Hawaiin and Other Pacific Islander,30
Native Hawaiin and Other Pacific Islander,8
Native Hawaiin and Other Pacific Islander,18
Native Hawaiin and Other Pacific Islander,7
Native Hawaiin and Other Pacific Islander,18
Native Hawaiin and Other Pacific Islander,15
Native Hawaiin and Other Pacific Islander,10
Native Hawaiin and Other Pacific Islander,15
Native Hawaiin and Other Pacific Islander,10
Native Hawaiin and Other Pacific Islander,15
Native Hawaiin and Other Pacific Islander,10
Hispanic or Latino,30
Hispanic or Latino,35
Hispanic or Latino,20
Hispanic or Latino,30
Hispanic or Latino,10
Hispanic or Latino,60
Hispanic or Latino,90
Hispanic or Latino,60
Hispanic or Latino,20
Hispanic or Latino,50
Hispanic or Latino,50
Hispanic or Latino,30
Hispanic or Latino,7
Hispanic or Latino,30
Hispanic or Latino,30
Hispanic or Latino,30
Hispanic or Latino,30
Hispanic or Latino,30
Hispanic or Latino,30
Hispanic or Latino,40
Hispanic or Latino,30
Hispanic or Latino,20
Hispanic or Latino,40
Hispanic or Latino,38
Other,30
Other,30
Other,30
Other,30
Other,36
Other,7
Other,41
Other,7
Other,30
Other,32
Other,30
Other,120
Other,30
Other,19
Other,15
Other,45
Other,45
Other,45
Other,45
Other,15
Other,15
Other,10
Other,45
Other,75
Other,35
Other,10
Other,5
Other,5
Other,180
Other,12
Other,14
Other,14
Other,30
Other,15
Other,15
Other,15
Two or More Races,9
Two or More Races,9
Two or More Races,45
Two or More Races,5
