from_vertex_id,from_vertex_name,to_vertex_id,to_vertex_name,Start,End,Proposal,Award
28,EE09,22,EE24,1.5,3.5,12031138,NO
29,EE11,30,DO02,1.5,3.5,12031138,NO
29,EE11,31,EE14,1.5,3.5,12031138,NO
29,EE11,8,CHE18,1.5,3.5,12031138,NO
29,EE11,5,CE13,1.5,3.5,12031138,NO
29,EE11,22,EE24,1.5,3.5,12031138,NO
30,DO02,31,EE14,1.5,3.5,12031138,NO
30,DO02,8,CHE18,1.5,3.5,12031138,NO
30,DO02,5,CE13,1.5,3.5,12031138,NO
30,DO02,22,EE24,1.5,3.5,12031138,NO
31,EE14,8,CHE18,1.5,3.5,12031138,NO
31,EE14,5,CE13,1.5,3.5,12031138,NO
31,EE14,22,EE24,1.5,3.5,12031138,NO
8,CHE18,5,CE13,1.5,3.5,12031138,NO
8,CHE18,22,EE24,1.5,3.5,12031138,NO
5,CE13,22,EE24,1.5,3.5,12031138,NO
8,CHE18,24,PHA10,1.55,3.5,12041602,NO
8,CHE18,25,PHA14,1.55,3.5,12041602,NO
25,PHA14,24,PHA10,1.55,3.5,12041602,NO
8,CHE18,32,ANE02,1.6,3.5,12041701,NO
8,CHE18,33,ILPB03,1.65,3.5,12041704,NO
8,CHE18,32,ANE02,1.7,3.5,12041709,NO
8,CHE18,14,ILPB05,1.75,3.5,12041710,NO
8,CHE18,4,CE04,1.8,3.5,12041907,YES
8,CHE18,13,ILPB04,1.85,3.5,12051954,NO
8,CHE18,19,MDC33,1.9,3.5,12052204,YES
8,CHE18,33,ILPB03,1.9,3.5,12052204,YES
8,CHE18,20,MDC41,1.9,3.5,12052204,YES
19,MDC33,33,ILPB03,1.9,3.5,12052204,YES
19,MDC33,20,MDC41,1.9,3.5,12052204,YES
33,ILPB03,20,MDC41,1.9,3.5,12052204,YES
8,CHE18,13,ILPB04,1.95,3.5,12052250,NO
8,CHE18,34,PB05,2,3.5,12062422,NO
8,CHE18,9,CHE25,2,3.5,12062422,NO
34,PB05,9,CHE25,2,3.5,12062422,NO
8,CHE18,13,ILPB04,2.05,3.5,12072830,NO
8,CHE18,6,CHE03,2.1,3.5,12083290,NO
8,CHE18,27,EE06,2.15,3.5,12083290,NO
8,CHE18,28,EE09,2.15,3.5,12083290,NO
6,CHE03,27,EE06,2.15,3.5,12083290,NO
6,CHE03,28,EE09,2.15,3.5,12083290,NO
27,EE06,28,EE09,2.15,3.5,12083290,NO
8,CHE18,9,CHE25,2.2,3.5,12083706,NO
8,CHE18,14,ILPB05,2.2,3.5,12083706,NO
9,CHE25,14,ILPB05,2.2,3.5,12083706,NO
8,CHE18,1,ANE01,2.25,3.5,12093799,NO
8,CHE18,2,ANE03,2.25,3.5,12093799,NO
